,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10,timestamp
0,-10.800831072032452,-24.791796806268394,8.945840694010258,-16.95670639909804,1731709443.1611884
1,-219.68920319713652,-201.6479258108884,-164.05445145629346,317.904585883487,1731709443.1611884
2,-220.2165290908888,-236.5598918972537,-274.48247744794935,793.4496947992593,1731709443.172202
3,-563.87967591919,-631.8373980140314,-687.9994756486267,1040.333580524195,1731709443.172202
4,-692.2330423984677,-763.7324497513473,-916.929971636273,1389.7842225339264,1731709443.1728904
5,-585.0961283678189,-661.4424460632727,-877.4104488044977,1221.3316487297416,1731709443.1728904
6,-826.9255393026397,-910.3552275141701,-1050.9156274488196,1138.3806677125394,1731709443.18649
7,-959.0487249372527,-1006.0031688809395,-1177.2606676518917,1364.581036732532,1731709443.18649
8,-694.8360127676278,-742.8787675984204,-939.3469319706783,1724.2621750710532,1731709443.2022047
9,-643.1131963804364,-704.8963436484337,-839.4729036539793,2102.2837827922776,1731709443.2022047
10,-798.543438538909,-882.1264626486227,-903.746824292466,2352.860819723457,1731709443.202938
11,-494.84112273715436,-539.3945509092882,-553.7295874394476,2083.8105469611473,1731709443.202938
12,-183.40469382703304,-252.1216156128794,-248.2620388586074,1759.458373554051,1731709443.2165756
13,-213.76146176736802,-322.6336893774569,-283.33482064306736,1977.8947102660313,1731709443.2165756
14,-100.22183901257813,-196.60654067061841,-165.32227754127234,2127.606645392254,1731709443.2322807
15,189.11926095932722,70.72150816209614,79.1475027622655,2351.6864911373705,1731709443.2322807
16,57.81511341501027,-76.97088098805398,-49.295621315948665,2259.479257729836,1731709443.2328951
17,-55.16726424638182,-179.36186197493225,-130.6496650520712,2170.5481766834855,1731709443.2328951
18,147.70734874997288,41.88313960377127,45.275228863582015,2310.480273425579,1731709443.246385
19,132.37375893164426,24.391627511009574,25.842708693817258,2286.309300011955,1731709443.246385
20,-71.49940735287964,-183.6777065237984,-145.41479007713497,2076.482212997973,1731709443.26231
21,40.2039245236665,-42.3543669981882,-29.126340854912996,2118.163398004137,1731709443.26231
22,182.5706961369142,86.9676335696131,91.60510951466858,2214.99688765686,1731709443.2629683
23,-91.61632921453565,-179.88544796872884,-141.28220062609762,1995.42362135835,1731709443.2629683
24,-131.79033453855664,-167.44280081614852,-152.5879181921482,1923.5689235096797,1731709443.2764952
25,138.56329335831106,123.85426683258265,87.39398216456175,2149.253186335787,1731709443.2764952
26,1.970927276648581,-31.83776832278818,-44.75538276974112,2125.0410740226507,1731709443.2920911
27,-150.61699091549963,-236.79550559446216,-161.6683952845633,1745.9760342137888,1731709443.2920911
28,-23.886741016991436,-98.31075013522059,-8.47835319954902,1591.1366962483153,1731709443.2929308
29,-86.14111567940563,-125.23428991623223,-58.46959590725601,1296.4138802401721,1731709443.2929308
30,-305.04493988584727,-389.0281332908198,-273.3492877613753,1063.1189210042357,1731709443.3065383
31,-152.69637529086322,-222.2136356672272,-93.89018838759512,1123.2527723917738,1731709443.3065383
32,8.231519802473485,-96.73625225387514,-71.58542505186051,994.009309723042,1731709443.3221228
33,-319.72030731197447,-436.81657492462546,-423.9363594772294,919.9892098000273,1731709443.3221228
34,-432.66902587376535,-440.23484348412603,-360.2159440321848,963.3683093860745,1731709443.3228033
35,-442.04495506267995,-283.30116154346615,-274.84524774365127,1091.0447539733723,1731709443.3228033
36,-886.9172744918615,-548.9948740955442,-532.1279252953827,916.9561509359628,1731709443.336374
37,-1279.0682242456824,-750.1902720117941,-708.643723404035,646.2958512427285,1731709443.336374
38,-1153.991010127589,-561.9798067416996,-585.1260475674644,719.5081327753142,1731709443.3521292
39,-1197.0933571169153,-621.9079636316746,-655.1369747379795,676.9144121799618,1731709443.3521292
40,-1460.3897937973961,-864.6125111561269,-870.9927804805338,454.2519885180518,1731709443.3529313
41,-1303.459851756692,-695.2287022629753,-769.4844158831984,601.1627385774627,1731709443.3529313
42,-1218.324769165367,-661.6369208609685,-736.008571379818,686.5932732652873,1731709443.3664045
43,-1242.7425759760663,-892.2279324289411,-952.6609758129343,643.2328731790185,1731709443.3664045
44,-1434.4760270044208,-943.7413144186139,-996.1747117973864,518.7241238541901,1731709443.3820698
45,-1353.2267004670575,-768.6990368925035,-833.747116821818,502.08156905137,1731709443.3820698
46,-1772.8285158956423,-1074.379759770818,-1114.348070597276,127.53058848902583,1731709443.382848
47,-2065.808538524434,-1374.2860771175474,-1381.6013214308769,610.5106185167097,1731709443.382848
48,-1843.9015746535733,-1223.6092478027567,-1317.4283780911937,518.7671327036805,1731709443.396286
49,-1799.6174192782491,-1353.6979278614745,-1462.8581277681515,80.0955674010329,1731709443.396286
50,-2087.458819367923,-1623.9954572590068,-1729.1801435127854,-270.9725813395344,1731709443.4119964
51,-2175.6120012234896,-1372.950932833366,-1628.2701629083604,40.72190066752955,1731709443.4119964
52,-2081.441320339218,-1210.1904867617413,-1453.2091858824715,321.11715994542465,1731709443.4126897
53,-2353.50034261588,-1413.9551959475502,-1596.290278387256,350.9615615918301,1731709443.4126897
54,-2341.3381879599765,-1415.911163624376,-1556.7857151553035,465.2678638375364,1731709443.426299
55,-2139.15919635538,-1328.2815677626058,-1423.364784236066,812.5661934227683,1731709443.426299
56,-2354.465236804448,-1478.2253766860813,-1537.2858767863363,837.1560356314294,1731709443.442
57,-2538.606690922752,-1603.093156406656,-1606.010278372094,869.9063395434059,1731709443.442
58,-2193.28676841408,-1231.855727205053,-1297.8462619232014,1176.8174895071425,1731709443.442727
59,-1978.911963053979,-1218.5716025624424,-1252.4139572614804,1261.3541881055571,1731709443.442727
60,-2169.2466914989054,-1577.9797282041982,-1582.396550051868,1227.489394006785,1731709443.4563248
61,-1905.7071613213047,-1386.9157192679122,-1391.1118870181963,1368.0385742415674,1731709443.4563248
62,-1799.9128713747486,-1173.7339419936761,-1246.4824759317562,1508.0828679823317,1731709443.472047
63,-2003.842136158608,-1421.0236068638042,-1423.6602363325655,1381.0160270878114,1731709443.472047
64,-2033.944590901956,-1443.7659384943545,-1258.0686859944835,1435.7008442399092,1731709443.472686
65,-1723.805907276459,-1105.0955581068993,-1107.3843768797815,1674.0858073155396,1731709443.472686
66,-1829.4132022252306,-1304.1330337487161,-1199.2363197915256,1698.383937327657,1731709443.4863076
67,-1807.4674692852423,-1317.6939109880477,-1250.3121334863827,1663.419612641912,1731709443.4863076
68,-1573.241274960339,-1030.2040614942089,-1072.7379436902702,1944.7947257081978,1731709443.5019898
69,-1476.8977122018114,-997.4126186827198,-998.6729649677873,2065.4289386789314,1731709443.5019898
70,-1752.1094701411203,-1248.2402289109305,-1187.6501097287983,1967.357542140875,1731709443.5026965
71,-1737.8903705095872,-1101.3294788515195,-1011.8972512111068,2040.3416897761635,1731709443.5026965
72,-1644.2769347187132,-961.0757507132366,-915.6958046508953,2156.4506238005124,1731709443.5163088
73,-2001.9983654804528,-1250.5589668834582,-1185.3425914561376,1855.1680232700892,1731709443.5163088
74,-2119.4499235888943,-1298.3661080170423,-1217.285076977685,1786.495980283711,1731709443.531975
75,-1835.0380117585883,-1033.917782150209,-1053.0772896232083,1947.5435521756299,1731709443.531975
76,-2108.5705546177924,-1192.6989746689796,-1200.9417141713202,1773.8139795339666,1731709443.5326831
77,-2305.835317680612,-1356.6374892266467,-1297.0683627324179,1554.2743723350577,1731709443.5326831
78,-2191.080227440223,-1121.5024992125109,-1084.3241537529975,1714.6973809343763,1731709443.5462873
79,-2508.6762715773657,-1128.073503434658,-1108.9551348611712,1722.528731441591,1731709443.5462873
80,-2765.311946436763,-1345.1185973631218,-1262.1077779466286,1445.9107711189426,1731709443.5620124
81,-2525.909730573185,-1123.9035149840638,-1094.8519721282646,1501.481944560539,1731709443.5620124
82,-2165.7872840398923,-944.6314106080681,-966.2405525520444,1803.467646282632,1731709443.5626736
83,-2171.0792424771935,-1133.391641171649,-1174.3360658865422,1726.2574116974138,1731709443.5626736
84,-2086.7295388765633,-1061.1105947280303,-1083.5537343621254,1849.019627742935,1731709443.5762665
85,-2508.663181927521,-646.0602375455201,-647.3243237305433,2236.8435132480226,1731709443.5762665
86,-2939.3481908747926,-672.7481636293232,-617.3565053856,2307.4715239112265,1731709443.591997
87,-3092.8673441559076,-873.2404603539035,-755.0446621542796,2083.354279166553,1731709443.591997
88,-2816.3578409319744,-534.9178906623274,-474.35021087992936,1822.3036524094641,1731709443.5926418
89,-2511.918764838949,-340.06910297088325,-400.76393935177475,1941.3596275988966,1731709443.5926418
90,-2514.7573489053175,-465.1911958884448,-583.2112187901512,1535.999351201579,1731709443.6062613
91,-2390.1925010811538,-338.50956468936056,-363.7277100905776,1688.9949184888974,1731709443.6062613
92,-2191.3906391365454,-138.3613387607038,-128.1364522818476,2065.08299793303,1731709443.621984
93,-2208.4894617339596,-318.9611076209694,-222.65120396204293,1863.6819055192173,1731709443.621984
94,-2134.349685012363,-261.7518579987809,-216.173697238788,1760.228792944923,1731709443.622644
95,-1801.779081452638,6.163355126976967,-57.295267321169376,2109.9692772012204,1731709443.622644
96,-1877.1418054597452,-128.90313177276403,-179.98642526753247,2103.2748562805355,1731709443.6363254
97,-1947.8520939219743,-272.44049207214266,-253.56147709582,1916.6762878913432,1731709443.6363254
98,-1514.1545955603942,47.5042092371732,16.373282006010413,2055.2695004493,1731709443.6519935
99,-1288.1823604376987,144.48729488812387,119.6880182819441,2242.8292231271043,1731709443.6519935
100,-1290.8152500065044,-9.966833381913602,-69.30408607888967,2298.2956793699414,1731709443.6526487
101,-873.0085865566507,282.74765635002404,201.4684106130153,2371.8969104979187,1731709443.6526487
102,-480.6818615049124,515.6162669910118,419.3886411311105,2455.427576008253,1731709443.666316
103,-640.1773749152198,324.8589298510924,294.2815078133717,2340.2760563725606,1731709443.666316
104,-597.0002299267799,402.9031621264294,394.9222156209871,2424.8912928700447,1731709443.6820312
105,-353.3457478135824,655.069656538777,662.4896180508658,2768.8237124951556,1731709443.6820312
106,-496.0902493223548,506.11692110355943,541.3318190863356,2782.3060518354177,1731709443.6826556
107,-559.0888640759513,420.88086121343076,496.8307495135814,2753.273208479397,1731709443.6826556
108,-307.57311225589365,711.3102720724419,753.111133877188,3029.266605509445,1731709443.6962807
109,-311.0699187144637,738.5330038499087,785.0199602991343,3133.8753471700475,1731709443.6962807
110,-539.6301646064967,502.1563670504838,595.7099644420668,3018.6004108358175,1731709443.7120287
111,-418.4985449416563,700.1840697042644,751.0953278010711,3138.7746161120012,1731709443.7120287
112,-252.40584800951183,838.5154892653227,870.966601180844,3225.0391484899446,1731709443.712675
113,-547.1585832173005,567.1857474800199,622.6409840229899,2988.999102686532,1731709443.712675
114,-584.1723730787635,569.1080560572445,621.0552664417773,2933.6074444428086,1731709443.7263417
115,-401.9420078378171,768.8598525905982,784.2458010083064,3110.4299143478274,1731709443.7263417
116,-636.7478866558522,572.5861630160362,601.9481175681576,2942.6168634360656,1731709443.742058
117,-788.5990445567295,418.8313960377127,462.8500185161829,2778.2220810838044,1731709443.742058
118,-622.0313803302124,651.7000066787004,655.0509570389986,2907.5590412514284,1731709443.7426856
119,-782.9891946231946,577.5078713577241,575.144254585728,2845.454262587242,1731709443.7426856
120,-1148.9346653874964,274.41515924874693,299.67818344943225,2597.9850825192407,1731709443.7563071
121,-974.1953197577968,417.8552821492776,434.41555915307254,2585.546175266616,1731709443.7563071
122,-817.0110645201057,504.52372372243553,514.7224309016019,2607.821019402705,1731709443.772041
123,-1081.724923283793,200.15196582861245,243.852696810849,2413.308822707273,1731709443.772041
124,-1100.7423145584762,219.92481689434499,253.92424739152193,2518.9198575560004,1731709443.7727425
125,-791.9686944168061,444.41605163458735,420.2338585210964,2570.3210425470024,1731709443.7727425
126,-911.0059701064602,264.8223158624023,260.21849901694804,2277.9207044113427,1731709443.7863328
127,-1016.9872550508007,171.4856326682493,197.21988426335156,2210.7072224076837,1731709443.7863328
128,-800.0880172206089,464.9630619911477,447.96521669253707,2408.3235360663384,1731709443.8020191
129,-863.7897331658751,447.8866787934676,430.60086119826883,2420.8035822184756,1731709443.8020191
130,-1101.419236450456,221.8508653715253,241.0776910437271,2226.325044622645,1731709443.8026495
131,-1014.2683477830142,365.82953386567533,367.78176164254546,2318.1433284347877,1731709443.8026495
132,-892.4859855258837,518.1780984606594,486.65074183419347,2434.087706861086,1731709443.8162968
133,-1142.752610760741,270.0918348999694,275.4249322367832,2238.561997277662,1731709443.8162968
134,-1127.4526800420135,307.05326616205275,307.41977635771036,2236.4863528022543,1731709443.8320005
135,-907.0678554531187,545.0941584417596,501.04187686368823,2395.892108613625,1731709443.8320005
136,-1116.4461544724181,349.66194635722786,333.03435115423054,2219.739080800675,1731709443.8326046
137,-1276.0538648813963,207.82998043764383,217.86413201875985,2076.0895235026255,1731709443.8326046
138,-1038.2859852984548,457.24016858264804,423.14724058657885,2267.8902927301824,1731709443.846281
139,-1028.4762277146801,448.16343139018863,412.3725888142362,2263.454771382734,1731709443.846281
140,-1319.8667928623036,161.3018850889057,162.77540567144752,2023.3157952278852,1731709443.8620272
141,-1223.7925029005855,292.7406690316275,269.69914540462196,2053.4294696711004,1731709443.8620272
142,-1124.348563078791,414.2799377916381,364.12413948588073,2119.199350291863,1731709443.862598
143,-1391.549455313012,160.10511710308492,136.76066157966852,1939.8300085170195,1731709443.862598
144,-1421.7229681555182,147.64751035068184,118.86524029169232,1936.9502855511382,1731709443.8762991
145,-1165.5660004904494,398.80797167494893,337.4287336021662,2115.410831636749,1731709443.8762991
146,-1332.8592053083703,218.44381651189178,190.66757954098284,2012.5261838557199,1731709443.892014
147,-1500.3319253241643,63.46984214801341,54.66985755227506,1888.9972883192822,1731709443.892014
148,-1283.690740590915,302.3260326180607,255.91013426799327,2046.8210664493963,1731709443.892611
149,-1295.837935646996,280.45135777723044,231.0397995626554,2022.377080339007,1731709443.892611
150,-1560.929524306208,9.372189288958907,3.2312735617160797,1810.0180810550228,1731709443.9062333
151,-1438.6011366555467,154.82437836565077,112.59342806600034,1870.4660840388387,1731709443.9062333
152,-1316.3550268039107,250.85378952790052,186.84914168622345,1940.6228673076257,1731709443.9219975
153,-1566.7001899378374,-16.204986508004367,-38.70796454139054,1717.1264459555969,1731709443.9219975
154,-1620.0049840062857,-30.12115424312651,-56.498668630607426,1651.046153638512,1731709443.9226336
155,-1440.6655614310876,164.84731024689972,87.4837397634983,1719.355426329188,1731709443.9226336
156,-1638.334233689122,-33.92463249806315,-74.23701412044466,1593.0777043253183,1731709443.936292
157,-1809.774987557903,-175.70423981826752,-198.48023054841906,1475.551348217763,1731709443.936292
158,-1640.129385667853,17.72338589001447,-46.468256949447095,1608.530970942229,1731709443.951995
159,-1709.732663743198,-14.8960215235129,-75.56467860471457,1597.0756573779508,1731709443.951995
160,-1991.4032289059833,-279.5687413876876,-305.67698297835886,1373.156627330929,1731709443.952633
161,-1877.7214899528772,-124.92761811986566,-181.0822159545496,1444.6560346838087,1731709443.952633
162,-1769.3616286367178,-9.069257392548025,-104.24597136490047,1483.4574967240915,1731709443.9662716
163,-2050.85267860163,-277.5491954116151,-328.2996378103271,1270.533772546798,1731709443.9662716
164,-2092.7320783054456,-271.471857983619,-326.3137509338558,1312.805861745961,1731709443.9820368
165,-1861.5314630446956,-31.83402842283249,-120.33876087423414,1501.046246215701,1731709443.9820368
166,-2023.7384039228782,-192.77688311599195,-254.85548248048872,1382.6260540187359,1731709443.9827733
167,-2190.8932324424386,-330.98488597851247,-367.56484744511545,1287.1015293505043,1731709443.9827733
168,-1939.6205741195008,-77.62536348029971,-149.7755134254694,1434.4386280048639,1731709443.996354
169,-1974.050093111582,-82.5208925222978,-151.90351650025696,1276.1361426804215,1731709443.996354
170,-2402.6688073333353,-321.65383558906615,-375.5046550510451,1681.2551955305971,1731709444.0120733
171,-2228.4754870971665,-222.09769876860082,-279.66597878653556,1918.0731405247934,1731709444.0120733
172,-2083.875995210372,-68.90391678363085,-169.23421289492399,2167.670323667582,1731709444.012929
173,-2308.1727551529184,-268.03862982429564,-345.92578630149364,1998.088300076779,1731709444.012929
174,-2251.7301850216463,-211.82419359032065,-277.81846820842475,2116.26913867658,1731709444.0263186
175,-1933.6329942904413,87.05365126859397,-19.196906472556293,2558.6806039349176,1731709444.0263186
176,-2118.9562567947432,-19.79155056551099,-110.65615988895297,2517.246252325829,1731709444.0427313
177,-2289.2862603766844,-141.33455922547728,-220.92711008246988,2435.910908089485,1731709444.0427313
178,-2041.9629364069551,106.40389363933355,-17.053943797945976,2654.620257498231,1731709444.043457
179,-1959.3148872861639,76.13314339797944,-13.792751036584377,2673.2561789774336,1731709444.043457
180,-2181.491123953834,-182.83996893372387,-226.6977757140994,2424.0965641294606,1731709444.0563352
181,-2032.2466763220727,-68.38033078983426,-119.99469007831067,2573.0792187643237,1731709444.0563352
182,-1897.9954876126722,29.4217929514125,-36.72955746483058,2625.119926647749,1731709444.0720754
183,-2116.532801623456,-233.43333553429693,-236.19712160155177,2460.250177001115,1731709444.0720754
184,-2102.0444291951135,-236.09614430274814,-237.01615969184786,2478.220396288205,1731709444.0728579
185,-1902.8536176551133,-28.441939163021743,-66.86567130777985,2593.6711079203524,1731709444.0728579
186,-2117.583713511005,-205.33172726724297,-213.9933355646208,2466.6566256252117,1731709444.0863645
187,-2277.44573711697,-376.45832953974605,-351.62913373392075,2327.5921856728382,1731709444.0863645
188,-1998.9765263162553,-111.07876858394593,-99.91890711616725,2508.464967229869,1731709444.1023612
189,-1986.316964966245,-42.28330889903009,-50.37645240314305,2489.144644058775,1731709444.1023612
190,-2170.985744978301,-221.52549407538027,-198.37925324961543,2358.7081533041783,1731709444.1031203
191,-2052.5206739818677,-58.79122730344534,-75.78907260205597,2550.7108771293424,1731709444.1031203
192,-1902.9882540535182,65.61280482262373,23.72218541894108,2697.7899226867594,1731709444.1166735
193,-2026.4647909905761,-128.45060387812555,-131.58837994094938,2479.0095151788555,1731709444.1166735
194,-1999.3953951112926,-78.61269706860185,-95.30013067089021,2393.3097076942213,1731709444.1321573
195,-1788.438858310692,176.0071717146784,101.1942130010575,2629.8359404918738,1731709444.1321573
196,-1966.0878461059183,-77.42340888269246,-92.57374360319227,2442.3958946126513,1731709444.1328397
197,-2232.5295386491343,-221.34223897755146,-282.10813345760107,2129.246591522824,1731709444.1328397
198,113.94166200002655,226.00589422229677,165.38772579049692,-319.24534001760185,1731709444.1471293
199,53.77789141284302,188.37128096818924,113.35449770698324,-382.0606996733695,1731709444.1478443
200,-263.38058442948386,-90.06427073292434,-107.91294327145442,-617.8314726799726,1731709444.1478443
201,-203.29161184141412,21.33986914716661,-22.39265098469332,-662.7140120482072,1731709444.1614635
202,-133.38914176961407,122.07407445367426,29.97342819487676,-649.9310339996591,1731709444.1614635
203,-387.43680585967377,-152.15408979728818,-131.42569429287687,-839.6038001524284,1731709444.1774735
204,-383.9138201014139,-96.24258545972407,-150.41316636791453,-791.4338887231424,1731709444.1774735
205,-294.2983373631723,132.6579913282767,28.974874906707555,-567.6345354747027,1731709444.1778464
206,-393.2747896905057,-72.39324344228953,-128.01864543324336,-667.9984906855971,1731709444.1778464
207,-483.3166210236959,-154.06517867464572,-194.151296349708,-807.3621226344258,1731709444.1914537
208,-258.3242396893911,2.4683339707553387,-22.957375878002495,-627.054065970704,1731709444.1914537
