Unnamed: 0,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10,timestamp
0,-10.800831072032452,-24.791796806268398,8.945840694010258,-16.95670639909804,1731709443.1611884
109,-311.0699187144637,738.5330038499087,785.0199602991343,3133.8753471700475,1731709443.6962807
110,-539.6301646064967,502.1563670504838,595.7099644420668,3018.600410835817,1731709443.7120287
111,-418.4985449416563,700.1840697042644,751.0953278010711,3138.774616112001,1731709443.7120287
112,-252.40584800951183,838.5154892653227,870.966601180844,3225.0391484899446,1731709443.712675
113,-547.1585832173005,567.1857474800199,622.6409840229899,2988.999102686532,1731709443.712675
114,-584.1723730787635,569.1080560572445,621.0552664417773,2933.6074444428086,1731709443.7263415
115,-401.9420078378171,768.8598525905982,784.2458010083064,3110.4299143478274,1731709443.7263415
116,-636.7478866558522,572.5861630160362,601.9481175681576,2942.6168634360656,1731709443.742058
117,-788.5990445567295,418.8313960377127,462.8500185161829,2778.2220810838044,1731709443.742058
118,-622.0313803302124,651.7000066787004,655.0509570389986,2907.5590412514284,1731709443.7426856
119,-782.9891946231946,577.5078713577241,575.144254585728,2845.454262587242,1731709443.7426856
120,-1148.9346653874964,274.41515924874693,299.67818344943225,2597.9850825192407,1731709443.7563071
121,-974.1953197577968,417.8552821492776,434.4155591530725,2585.546175266616,1731709443.7563071
122,-817.0110645201057,504.52372372243553,514.7224309016019,2607.821019402705,1731709443.772041
123,-1081.724923283793,200.15196582861245,243.852696810849,2413.308822707273,1731709443.772041
124,-1100.7423145584762,219.92481689434496,253.92424739152196,2518.9198575560004,1731709443.7727425
125,-791.9686944168061,444.41605163458735,420.2338585210964,2570.3210425470024,1731709443.7727425
108,-307.57311225589365,711.3102720724419,753.111133877188,3029.266605509445,1731709443.6962807
107,-559.0888640759513,420.8808612134308,496.8307495135814,2753.273208479397,1731709443.6826556
106,-496.0902493223548,506.1169211035594,541.3318190863356,2782.3060518354177,1731709443.6826556
105,-353.3457478135824,655.069656538777,662.4896180508658,2768.823712495156,1731709443.6820312
87,-3092.867344155908,-873.2404603539035,-755.0446621542796,2083.354279166553,1731709443.591997
88,-2816.3578409319744,-534.9178906623274,-474.35021087992936,1822.303652409464,1731709443.5926418
89,-2511.918764838949,-340.06910297088325,-400.7639393517748,1941.3596275988969,1731709443.5926418
90,-2514.757348905317,-465.1911958884448,-583.2112187901512,1535.999351201579,1731709443.6062613
91,-2390.1925010811538,-338.50956468936056,-363.7277100905776,1688.9949184888974,1731709443.6062613
92,-2191.3906391365454,-138.3613387607038,-128.1364522818476,2065.08299793303,1731709443.621984
93,-2208.48946173396,-318.9611076209694,-222.65120396204293,1863.6819055192173,1731709443.621984
94,-2134.349685012363,-261.7518579987809,-216.173697238788,1760.228792944923,1731709443.622644
126,-911.0059701064602,264.8223158624023,260.21849901694804,2277.9207044113427,1731709443.7863328
95,-1801.779081452638,6.163355126976967,-57.295267321169376,2109.9692772012204,1731709443.622644
97,-1947.8520939219743,-272.44049207214266,-253.56147709582,1916.6762878913432,1731709443.6363254
98,-1514.1545955603942,47.5042092371732,16.373282006010413,2055.2695004493,1731709443.6519935
99,-1288.182360437699,144.48729488812387,119.6880182819441,2242.8292231271043,1731709443.6519935
100,-1290.8152500065044,-9.966833381913602,-69.30408607888967,2298.2956793699414,1731709443.6526487
101,-873.0085865566507,282.74765635002404,201.4684106130153,2371.8969104979187,1731709443.6526487
102,-480.6818615049124,515.6162669910118,419.3886411311105,2455.427576008253,1731709443.666316
103,-640.1773749152198,324.8589298510924,294.2815078133717,2340.276056372561,1731709443.666316
104,-597.0002299267799,402.9031621264294,394.9222156209871,2424.8912928700447,1731709443.6820312
96,-1877.1418054597448,-128.90313177276403,-179.98642526753247,2103.2748562805355,1731709443.6363254
86,-2939.3481908747926,-672.7481636293232,-617.3565053856,2307.4715239112265,1731709443.591997
127,-1016.9872550508009,171.4856326682493,197.2198842633516,2210.707222407684,1731709443.7863328
129,-863.7897331658751,447.8866787934676,430.6008611982688,2420.803582218476,1731709443.8020191
153,-1566.7001899378374,-16.204986508004367,-38.70796454139054,1717.1264459555969,1731709443.9219975
154,-1620.0049840062857,-30.12115424312651,-56.49866863060743,1651.046153638512,1731709443.9226336
