,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10,timestamp
0,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4153483
1,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4153483
2,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4159076
3,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4159076
4,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4166496
5,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4166496
6,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4288175
7,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4288175
8,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4611423
9,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4611423
10,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4615796
11,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4615796
12,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4623027
13,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4623027
14,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.463066
15,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.463066
16,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.473924
17,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.473924
18,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4889464
19,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.4889464
20,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.552707
21,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.552707
22,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5533707
23,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5533707
24,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.554119
25,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.554119
26,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5549223
27,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5549223
28,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.565393
29,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.565393
30,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5660925
31,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5660925
32,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.566787
33,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.566787
34,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5788012
35,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5788012
36,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5945115
37,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5945115
38,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5951743
39,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.5951743
40,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.625197
41,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.625197
42,15686.275473800022,15686.275473800022,15686.275473800022,15686.275473800022,1731836028.62584
